k:1 sum:221
1113 supp:448
15618 supp:614
107 supp:765
12929 supp:742
8978 supp:606
10446 supp:618
438 supp:1863
12925 supp:1467
604 supp:1209
1872 supp:572
1867 supp:467
1693 supp:524
310 supp:2594
186 supp:660
267 supp:584
185 supp:1376
4883 supp:521
36 supp:2936
371 supp:782
441 supp:609
2383 supp:569
533 supp:1487
340 supp:643
2118 supp:525
2184 supp:462
418 supp:481
2168 supp:499
703 supp:806
103 supp:812
1600 supp:801
65 supp:4472
831 supp:454
740 supp:1181
581 supp:574
549 supp:843
793 supp:494
379 supp:677
490 supp:445
2 supp:549
270 supp:1734
407 supp:693
365 supp:442
1344 supp:753
2051 supp:461
475 supp:2167
271 supp:2094
2329 supp:488
798 supp:503
14098 supp:1291
396 supp:674
178 supp:479
1020 supp:465
255 supp:1474
12946 supp:535
269 supp:701
413 supp:1880
2238 supp:1715
30 supp:540
258 supp:987
2958 supp:904
31 supp:920
10 supp:712
16010 supp:1316
2399 supp:481
281 supp:453
432 supp:466
62 supp:543
334 supp:774
885 supp:576
522 supp:974
1479 supp:472
1043 supp:551
2879 supp:481
117 supp:1026
179 supp:998
38 supp:15596
1404 supp:446
425 supp:606
865 supp:632
1144 supp:599
535 supp:718
1355 supp:512
2284 supp:508
910 supp:519
1435 supp:765
449 supp:690
878 supp:570
155 supp:546
806 supp:741
544 supp:851
49 supp:1120
1198 supp:660
272 supp:650
249 supp:1160
649 supp:857
1986 supp:614
408 supp:479
37 supp:1074
80 supp:464
76 supp:869
286 supp:1183
259 supp:684
389 supp:831
297 supp:525
208 supp:529
809 supp:626
3616 supp:654
16217 supp:1166
2135 supp:461
39 supp:50675
1327 supp:1786
16011 supp:669
10444 supp:473
916 supp:543
623 supp:525
1714 supp:507
56 supp:535
237 supp:3032
464 supp:695
15832 supp:1143
1814 supp:688
1987 supp:482
229 supp:820
783 supp:965
161 supp:1010
14933 supp:479
420 supp:600
225 supp:3257
1393 supp:1161
704 supp:526
2199 supp:597
846 supp:595
209 supp:611
1239 supp:569
12959 supp:476
55 supp:704
374 supp:584
1146 supp:1426
3270 supp:950
170 supp:3099
675 supp:601
808 supp:482
488 supp:720
1135 supp:667
32 supp:15167
1578 supp:874
110 supp:2794
1585 supp:450
1067 supp:584
947 supp:591
426 supp:508
264 supp:895
136 supp:467
78 supp:1060
10515 supp:882
405 supp:879
175 supp:970
824 supp:1210
1677 supp:468
41 supp:14945
589 supp:1119
48 supp:42135
2080 supp:481
18 supp:860
976 supp:817
913 supp:543
261 supp:523
571 supp:513
855 supp:519
548 supp:1137
260 supp:691
856 supp:494
60 supp:1489
11 supp:711
242 supp:911
19 supp:1005
1417 supp:536
53 supp:509
79 supp:1600
251 supp:621
45 supp:911
13041 supp:1051
147 supp:1779
570 supp:792
790 supp:523
9 supp:1372
812 supp:821
681 supp:704
301 supp:1204
1004 supp:1102
2437 supp:571
123 supp:1302
279 supp:633
4336 supp:589
338 supp:1274
479 supp:926
345 supp:490
1659 supp:459
1704 supp:450
23 supp:758
52 supp:501
664 supp:752
677 supp:1110
961 supp:540
150 supp:597
156 supp:830
105 supp:657
101 supp:2237
47 supp:444
772 supp:752
201 supp:1133
398 supp:515
89 supp:3837
789 supp:648
766 supp:797
592 supp:1227
956 supp:911
94 supp:516
1715 supp:590
2046 supp:625
1783 supp:600

k:2 sum:237
16217 48 supp:647
105 38 supp:643
12929 39 supp:470
48 9 supp:790
13041 48 supp:602
201 48 supp:674
39 438 supp:1260
170 38 supp:3031
12925 39 supp:938
12925 48 supp:817
39 664 supp:481
32 38 supp:2833
310 39 supp:1852
310 41 supp:719
310 48 supp:1692
338 39 supp:742
41 79 supp:499
107 48 supp:467
175 48 supp:493
438 48 supp:1025
270 39 supp:1194
16010 48 supp:730
10515 48 supp:524
16010 16011 supp:651
185 39 supp:828
185 48 supp:816
3270 39 supp:576
38 65 supp:643
36 41 supp:700
179 48 supp:624
258 48 supp:643
371 38 supp:767
2238 48 supp:955
1135 39 supp:458
45 48 supp:492
271 32 supp:470
117 48 supp:601
39 533 supp:922
1578 39 supp:576
1814 39 supp:471
39 48 supp:29142
272 39 supp:446
101 39 supp:1400
48 89 supp:2798
2238 41 supp:570
39 549 supp:492
